time_s,subject,event,detail
10,RELAY_5,fault,"node_down"
10,SAF_02,fault,"node_down"
16,ER_03,switch-er,"plte -> radio900 (local: no poll for 7.883587 s)"
16,ER_04,switch-er,"plte -> radio900 (local: no poll for 7.846587 s)"
16,ER_06,switch-er,"radio900 -> plte (local: no poll for 7.734674 s)"
16,ER_07,switch-er,"plte -> radio900 (local: no poll for 7.735587 s)"
16.111,ER_03,switch-noc,"plte -> radio900 (local: 3 missed replies)"
16.148,ER_04,switch-noc,"plte -> radio900 (local: 3 missed replies)"
16.222,ER_06,switch-noc,"radio900 -> plte (local: 3 missed replies)"
16.259,ER_07,switch-noc,"plte -> radio900 (local: 3 missed replies)"
22.111,ER_03,switch-noc,"radio900 -> plte (local: 3 missed replies)"
22.148,ER_04,switch-noc,"radio900 -> plte (local: 3 missed replies)"
22.222,ER_06,switch-noc,"plte -> radio900 (local: 3 missed replies)"
22.259,ER_07,switch-noc,"radio900 -> plte (local: 3 missed replies)"
24,ER_03,switch-er,"radio900 -> plte (local: no poll for 8.000000 s)"
24,ER_04,switch-er,"radio900 -> plte (local: no poll for 8.000000 s)"
24,ER_06,switch-er,"plte -> radio900 (local: no poll for 8.000000 s)"
24,ER_07,switch-er,"radio900 -> plte (local: no poll for 8.000000 s)"
28.111,ER_03,switch-noc,"plte -> radio900 (local: 3 missed replies)"
28.148,ER_04,switch-noc,"plte -> radio900 (local: 3 missed replies)"
28.222,ER_06,switch-noc,"radio900 -> plte (local: 3 missed replies)"
28.259,ER_07,switch-noc,"plte -> radio900 (local: 3 missed replies)"
